data_pregao,sigla_acao,nome_acao,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,qtd_negocios,volume_negocios
2024-01-02,AALR3,ALLIAR,10.2,10.36,8.5,8.5,430400.0,401487500.0
2024-01-02,ABCB4,ABC BRASIL,23.98,23.98,22.79,22.88,1944700.0,4494730800.0
2024-01-02,ABEV3,AMBEV S/A,13.72,13.73,13.59,13.71,11690200.0,15983911100.0
2024-01-02,BBDC3,BRADESCO,15.26,15.26,14.98,15.11,4545600.0,6857685400.0
2024-01-02,ALPA3,ALPARGATAS,10.11,10.3,9.99,10.0,2900.0,2912000.0
2024-01-02,ALPA4,ALPARGATAS,10.1,10.12,9.31,9.31,6907000.0,6713502800.0
2024-01-02,ALPK3,ESTAPAR,4.92,4.97,4.47,4.66,234900.0,108194400.0
2024-01-02,ALUP11,ALUPAR,31.46,31.56,30.25,30.45,834400.0,2547695200.0
2024-01-02,ALUP3,ALUPAR,10.46,10.46,10.07,10.15,14400.0,14731400.0
2024-01-02,ALUP4,ALUPAR,10.62,10.62,10.0,10.0,32200.0,32965200.0
2024-01-02,AMAR3,LOJAS MARISA,3.63,3.71,3.45,3.48,965800.0,342819000.0
2024-01-02,AMBP3,AMBIPAR,16.17,16.29,15.51,15.58,1379300.0,2183818700.0
2024-01-02,RCSL3,RECRUSUL,2.43,2.73,2.38,2.48,4944100.0,1260670600.0
2024-01-02,RCSL4,RECRUSUL,0.88,0.88,0.86,0.87,2908500.0,253074400.0
2024-01-02,RDNI3,RNI,4.69,4.72,4.5,4.63,26700.0,12335700.0
2024-01-02,RDOR3,REDE D OR,28.11,28.36,27.58,27.74,4877200.0,13560946000.0
2024-01-02,TASA4,TAURUS ARMAS,15.2,15.23,14.7,14.76,547700.0,818814000.0
2024-01-02,TCSA3,TECNISA,3.98,4.0,3.82,3.92,112500.0,43829100.0
2024-01-02,TECN3,TECHNOS,3.52,3.65,3.5,3.63,334800.0,119979300.0
2024-01-02,TELB3,TELEBRAS,15.75,15.75,15.42,15.42,500.0,777000.0
2024-01-02,TELB4,TELEBRAS,12.91,12.96,12.3,12.31,10700.0,13468200.0
2024-01-02,TRAD3,TC,0.87,0.87,0.83,0.86,642700.0,54519600.0
2024-01-02,TRIS3,TRISUL,5.75,5.75,5.45,5.49,1668800.0,930986600.0
2024-01-02,TRPL3,TRAN PAULIST,35.14,36.0,35.14,35.85,800.0,2850100.0
2024-01-02,TRPL4,TRAN PAULIST,26.38,26.68,25.98,26.2,2271400.0,5948863600.0
2024-01-02,VLID3,VALID,20.79,21.02,20.47,20.6,684400.0,1414316800.0
2024-01-02,BMEB3,MERCANTIL,20.22,20.22,20.18,20.22,600.0,1212400.0
2024-01-02,BMEB4,MERCANTIL,17.0,17.05,16.5,16.5,14600.0,24678400.0
2024-01-02,BMGB4,BANCO BMG,3.25,3.26,3.12,3.16,1023500.0,326116700.0
2024-01-02,BMKS3,BIC MONARK,359.98,359.98,350.97,359.97,50.0,1798580.0
2024-01-02,BMOB3,BEMOBI TECH,14.01,14.04,13.42,13.65,432700.0,588503400.0
